PROPUESTA PERIODO: ENERO-MAYO 2025,,,,,,CONSIDERACIONES ,,HORARIO,,,,,
OBLIGATORIA ,Cambio y Aprendizaje Organizacional ,7 ,A,8/plataforma,LUPITA C.,Lunes presencial y viernes trabajo en plataforma (sin sesión directa),"3 antecedentes: Dinámicas y técnicas grupales, Psicologpia, organizaciones y trabajo, Aprendizaje",10:00-12:00,,,,19:00- 21:00,
OBLIGATORIA ,Cambio y Aprendizaje Organizacional ,7 ,B,17/plataforma,LUPITA C.,Lunes presencial y sábado trabajo en plataforma (sin sesión directa),"3 antecedentes: Dinámicas y técnicas grupales, Psicologpia, organizaciones y trabajo, Aprendizaje",12:00-14:00,,,,,20:00-22:00
OBLIGATORIA ,Cambio y Aprendizaje Organizacional ,7 ,C,8/plataforma,NICTE G.,Viernes presencial y sábado plataforma (sin sesión directa),"3 antecedentes: Dinámicas y técnicas grupales, Psicologpia, organizaciones y trabajo, Aprendizaje",,,,,8:00-10:00,20:00-22:00
OBLIGATORIA ,Cambio y Aprendizaje Organizacional ,7 ,D,14/plataforma ,NICTE G.,Miércoles presencial y viernes trabajo en plataforma (sin sesión directa),"3 antecedentes: Dinámicas y técnicas grupales, Psicologpia, organizaciones y trabajo, Aprendizaje",,,8:00-10:00,,19:00- 21:00,
OBLIGATORIA ,Modelos de intervención en psicología clínica   ,6 ,A,SUM,RICARDO G.,Lunes y miércoles presencial,1 antecedente: Habilidades clinicas básicas del psicólogo,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Modelos de intervención en psicología clínica   ,6 ,B,SUM,MANUEL S.,Lunes y miércoles presencial,1 antecedente: Habilidades clinicas básicas del psicólogo,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Modelos de intervención en psicología clínica   ,6 ,C,SUM,ESTRELLA V.,Lunes y miércoles presencial,1 antecedente: Habilidades clinicas básicas del psicólogo,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Modelos de intervención en psicología clínica   ,6 ,D,SUM,SILVIA A.,Lunes y miércoles presencial,1 antecedente: Habilidades clinicas básicas del psicólogo,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Procesos comunitarios ,6 ,A,18,EDER T.,Martes y jueves presencial,1 antecedente: Procesos psicosociales grupales,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Procesos comunitarios ,6 ,B,SUM,CONCHY C.,Sábado presencial de corrido,1 antecedente: Procesos psicosociales grupales,,,,,,9:00- 13:00
OBLIGATORIA ,Procesos comunitarios ,6 ,C,14,EDER T.,Lunes y miércoles presencial,1 antecedente: Procesos psicosociales grupales,14:00-16:00,,14:00-16:00,,,
OBLIGATORIA ,Procesos comunitarios ,6 ,D,16,TANIA,Viernes presencial de corrido,1 antecedente: Procesos psicosociales grupales,,,,,,10:00- 14:00
OBLIGATORIA ,Evaluación socioemocional y de la personalidad ,6 ,A,9/plataforma,PERLA M.,Miercoles presencial y sábado trabajo en plataforma (sin sesión directa),1 antecedente: Evaluación de inteligencia y habilidades cognitivas,,,8:00-10:00,,,7:00- 9:00
OBLIGATORIA ,Evaluación socioemocional y de la personalidad ,6 ,B,16,ESTRELLA V.,Lunes y miércoles presencial,1 antecedente: Evaluación de inteligencia y habilidades cognitivas,10:00-12:00,,10:00-12:00,,,
OBLIGATORIA ,Evaluación socioemocional y de la personalidad ,6 ,C,7/plataforma,PAULINA C.,Miercoles presencial y viernes trabajo en plataforma (sin sesión directa),1 antecedente: Evaluación de inteligencia y habilidades cognitivas,,,12:00-14:00,,20:00-22:00,
OBLIGATORIA ,Construcción de instrumentos en psicología   ,6 ,A,15/online,MIRTA F.,Martes presencial y jueves online,1 antecedente: Psicometría,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Construcción de instrumentos en psicología   ,6 ,B,14/online,MIRTA F.,Martes presencial y jueves online,1 antecedente: Psicometría,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Construcción de instrumentos en psicología   ,6 ,C,8/online,RICARDO E.,Miércoles presencial y viernes online,1 antecedente: Psicometría,,,14:00-16:00,,14:00- 16:00,
OBLIGATORIA ,Construcción de instrumentos en psicología   ,6 ,D,13/online,RICARDO E.,Miércoles presencial y viernes online,1 antecedente: Psicometría,,,10:00- 12:00,,10:00-12:00,
OBLIGATORIA ,Difusión y divulgación de Investigación en Psicología   ,,A,11/online,LOURDES P.,Martes presencial y jueves online,1 antecedente: Desarrollo y sistematización del trabajo de campo en investigación,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Difusión y divulgación de Investigación en Psicología   ,5,B,13/online,LOURDES C.,Martes presencial y jueves online,1 antecedente: Desarrollo y sistematización del trabajo de campo en investigación,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Difusión y divulgación de Investigación en Psicología   ,5,X,(SUM),CONVHY C.,Martes presencial y jueves online,1 antecedente: Desarrollo y sistematización del trabajo de campo en investigación,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Psicopatología ,6,A,16/ online,PAULINO D.,Martes presencial y jueves online,"3 antecedentes: Técnicas de entrevista en diferentes contextos, Personalidad teoría y práctica, Desarrollo psicológico: adultez y vejez",,14:00-16:00,,14:00-16:00,,
OBLIGATORIA ,Psicopatología ,6,B,13/online,PAULINO D.,Martes presencial y jueves online,"3 antecedentes: Técnicas de entrevista en diferentes contextos, Personalidad teoría y práctica, Desarrollo psicológico: adultez y vejez",,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Psicopatología ,6,C,12,ESTRELLA V.,Lunes y miércoles presencial,"3 antecedentes: Técnicas de entrevista en diferentes contextos, Personalidad teoría y práctica, Desarrollo psicológico: adultez y vejez",8:00-10:00,,8:00-10:00,,,
OBLIGATORIA ,Psicopatología ,6,D,8/online,PAULINO D.,Miércoles presencial y viernes online,"3 antecedentes: Técnicas de entrevista en diferentes contextos, Personalidad teoría y práctica, Desarrollo psicológico: adultez y vejez",,,10:00-12:00,,10:00-12:00,
OBLIGATORIA ,Sexualidad humana y perspectiva de género ,6 ,A,16/online,ROSA I.,Martes presencial y jueves online,1 antecedente:  Desarrollo psicológico: adultez y vejez,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Sexualidad humana y perspectiva de género ,6,B,10/online,ROSA I.,Martes presencial y jueves online,1 antecedente:  Desarrollo psicológico: adultez y vejez,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Sexualidad humana y perspectiva de género ,6,C,14/online,VERONICA G.,Martes presencial y jueves online,1 antecedente:  Desarrollo psicológico: adultez y vejez,,14:00-16:00,,14:00-16:00,,
OBLIGATORIA ,Sexualidad humana y perspectiva de género ,6,D,9,PAMELA E.,Lunes y miércoles presencial,1 antecedente:  Desarrollo psicológico: adultez y vejez,10:00-12:00,,10:00-12:00,,,
OBLIGATORIA ,Seminario de Investigación ,5 ,A,10/plataforma,MIRTA F.,Lunes presencial y viernes trabajo en plataforma (sin sesión directa),"2 antecedentes:  Desarrollo y sistematización del trabajo de campo en investigación, Construcción de instrumentos",8:00-10:00,,,,6:00-8:00,
OBLIGATORIA ,Seminario de Investigación ,5,B,Isabel R./ plataforma,DAVID C.,Lunes presencial y viernes trabajo en plataforma (sin sesión directa),"2 antecedentes:  Desarrollo y sistematización del trabajo de campo en investigación, Construcción de instrumentos",14:30-16:30,,,,6:00-8:00,
OBLIGATORIA ,Integración y desarrollo del factor humano ,6,A,10/online,CECI A.,Miércoles presencial y viernes online,"2 antecedentes:  Técnicas de entrevista en diferentes contextos, Psicometría",,,8:00-10:00,,8:00-10:00,
OBLIGATORIA ,Integración y desarrollo del factor humano ,6,B,12/online,CECI A.,Miércoles presencial y viernes online,"2 antecedentes:  Técnicas de entrevista en diferentes contextos, Psicometría",,,10:00-12:00,,10:00-12:00,
OBLIGATORIA ,Integración y desarrollo del factor humano ,6,C,18/online,CECI A.,Lunes presencial y jueves online,"2 antecedentes:  Técnicas de entrevista en diferentes contextos, Psicometría",12:00-14:00,,,12:00-14:00,,
OBLIGATORIA ,Integración y desarrollo del factor humano ,6,D,17/online,CECI A.,Lunes presencial y jueves online,"2 antecedentes:  Técnicas de entrevista en diferentes contextos, Psicometría",14:00-16:00,,,14:00-16:00,,
OBLIGATORIA ,Consejería y tutoría escolar ,6 ,A,16/online,JORGE A.,Miércoles presencial y viernes online,1 antecedente:  Técnicas de entrevista en diferentes contextos,,,12:00-14:00,,12:00-14:00,
OBLIGATORIA ,Consejería y tutoría escolar ,6,B,8/online,JORGE A.,Martes presencial y jueves online,1 antecedente:  Técnicas de entrevista en diferentes contextos,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Consejería y tutoría escolar ,6,C,18/online,JORGE A.,Martes presencial y jueves online,1 antecedente:  Técnicas de entrevista en diferentes contextos,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Consejería y tutoría escolar ,6,D,campo/online,ALFREDO D.,Miércoles campo y algunas sesiones online,1 antecedente:  Técnicas de entrevista en diferentes contextos,,,8:00- 12:00,,,
OBLIGATORIA ,Neurociencias en la práctica psicológica ,6,A,18/plataforma ,CHUCHO M. ,Lunes presencial y sábado trabajo en plataforma (sin sesión directa),1 antecedente:  Procesos neuropaicológicos del comportamiento,10:00-12:00,,,,,18:00-20:00
OBLIGATORIA ,Neurociencias en la práctica psicológica ,6,B,9/plataforma,CHUCHO M. ,Viernes presencial y sábado plataforma (sin sesión directa),1 antecedente:  Procesos neuropaicológicos del comportamiento,,,,,8:00-10:00,6:00-8:00
OBLIGATORIA ,Neurociencias en la práctica psicológica ,6,C,16/plataforma,SALLY V.,Martes presencial y sábado plataforma (sin sesión directa),1 antecedente:  Procesos neuropaicológicos del comportamiento,,10:00-12:00,,,,18:00-20:00
OBLIGATORIA ,Neurociencias en la práctica psicológica ,6 ,D,10/ plataforma,SALLY V.,Lunes presencial y sábado trabajo en plataforma (sin sesión directa),1 antecedente:  Procesos neuropaicológicos del comportamiento,14:00-16:00,,,,,20:00-22:00
OBLIGATORIA ,Integración de casos ,5 ,A,17/plataforma,PAULINA C.,Miércoles presencial y sábado en plataforma (sin sesión directa),1 antecedente:  Evaluación socioemocional y de la personalidad,,,14:00- 16:00,,,20:00-22:00
OBLIGATORIA ,Integración de casos ,5,B,16/plataforma,CARLOS T.,Lunes presencial y sábado trabajo en plataforma (sin sesión directa),1 antecedente:  Evaluación socioemocional y de la personalidad,12:00- 14:00,,,,,20:00-22:00
OBLIGATORIA ,Integración de casos ,5,C,9/plataforma,PERLA M.,Lunes presencial y sábado trabajo en plataforma (sin sesión directa),1 antecedente:  Evaluación socioemocional y de la personalidad,8:00-10:00,,,,,20:00-22:00
OBLIGATORIA ,Intervención en crisis ,6,A,15,FARIDE P.,Miércoles y viernes presencial,1 antecedente:  Modelos de intervención clinica,,,8:00-10:00,,8:00-10:00,
OBLIGATORIA ,Intervención en crisis ,6,B,13,ANAYANCY S.,Lunes y miércoles presencial,1 antecedente:  Modelos de intervención clinica,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Intervención en crisis ,6,C,10,ANAYANCY S.,Miércoles y viernes presencial,1 antecedente:  Modelos de intervención clinica,,,14:00-16:00,,14:00-16:00,
OBLIGATORIA ,Intervención en crisis ,6 ,D,14,ANAYANCY S.,Lunes y miércoles presencial,1 antecedente:  Modelos de intervención clinica,10:00-12:00,,10:00-12:00,,,
OBLIGATORIA ,Innovación y uso de las TIC para la psicoeducación ,6 ,A,14/plataforma,ALFONSO G.,Lunes presencial y jueves trabajo en plataforma (sin sesión directa),1 antecedente:  Procesos de enseñanza y aprendizaje,8:00-10:00,,,19:00-21:00,,
OBLIGATORIA ,Innovación y uso de las TIC para la psicoeducación ,6,B,11/plataforma,ALFONSO G.,Miércoles presencial y martes trabajo en plataforma (sin sesión directa),1 antecedente:  Procesos de enseñanza y aprendizaje,,19:00-21:00,12:00-14:00,,,
OBLIGATORIA ,Innovación y uso de las TIC para la psicoeducación ,6,C,online/plataforma,ALFREDO D.,Viernes online y martes trabajo en plataforma (sin sesión directa),1 antecedente:  Procesos de enseñanza y aprendizaje,,19:00-22:00,,,16:00-17:00,
OBLIGATORIA ,Innovación y uso de las TIC para la psicoeducación ,6,D,12/plataforma,ALFREDO D.,Lunes presencial y jueves trabajo en plataforma (sin sesión directa),1 antecedente:  Procesos de enseñanza y aprendizaje,15:00-16:30,,,19:00-21:30,,
OBLIGATORIA ,Acompañamiento Psicológico   ,8 ,A,13,RICARDO G.,Lunes y miércoles presencial ,1 antecedente:  Modelos de intervención en psicología clinica,8:00-10:00,,8:00-10:00,,,
OBLIGATORIA ,Acompañamiento Psicológico   ,8,B,16,RICARDO G.,Lunes y miércoles presencial ,1 antecedente:  Modelos de intervención en psicología clinica,14:00-16:00,,14:00-16:00,,,
OBLIGATORIA ,Acompañamiento Psicológico   ,8,C,18,JORGE N.,Martes y jueves presencial,1 antecedente:  Modelos de intervención en psicología clinica,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Acompañamiento Psicológico   ,8,D,15,JORGE N.,Martes y jueves presencial,1 antecedente:  Modelos de intervención en psicología clinica,,14:00-16:00,,14:00-16:00,,
OBLIGATORIA ,PRACTICAS PROFESIONALES ,5 ,A,online,MAURICIO B.,Viernes online,191 créditos de obligatorias ,,,,,8:00-10:00,
OBLIGATORIA ,PRACTICAS PROFESIONALES ,5,B,online,MAURICIO B.,Viernes online,191 créditos de obligatorias ,,,,,15:00-17:00,
OBLIGATORIA ,PRACTICAS PROFESIONALES ,5,C,online,MAURICIO B.,Sábado online,191 créditos de obligatorias ,,,,,,14:00-16:00
OBLIGATORIA ,"PAQUETE CAMPO (Praxis y acción comunitaria, Promoción de la salud, Desarrollo de programas y proyectos en psicología) ","10, 7, 12",A,virtual/campo,CONCHY C.,"Martes y jueves presencial, sábado online ",2 antecedentes:  Procesos comunitarios; Difusión y divulgación de investigación en psicología ,,8:00-14:00,,8:00-14:00,,8:00-14:00
OBLIGATORIA ,"PAQUETE CAMPO (Praxis y acción comunitaria, Promoción de la salud, Desarrollo de programas y proyectos en psicología) ","10, 7, 12",B,virtual/campo,CONCHY C.,"Martes y jueves presencial, sábado online ",2 antecedentes:  Procesos comunitarios; Difusión y divulgación de investigación en psicología ,,14:00-19:30,,14:00-19:30,,8:00-15:00
OPTATIVA ,SEMINARIO DE TESIS ,5,A,6/plataforma,DAVID C.,Lunes presencial y miércoles trabajo en plataforma (sin sesión directa),1 antecedente: Seminario de investigación ,8:00-10:00,,6:00-8:00,,,
OPTATIVA ,SEMINARIO DE TESIS ,5,B,Isabel Reyes/ plataforma,DAVID C.,Miércoles y lunes trabajo en plataforma (sin sesión directa),1 antecedente: Seminario de investigación ,6:00-8:00,,14:30-16:30,,,
OPTATIVA ,Tanatología,6,U,12/ ONLINE,MARIO S.,Miércoles presencial y viernes online ,Ningún antecedente,,,14:00-16:00,,14:00-16:00,
OPTATIVA ,Diagnóstico e intervención en estrés laboral,6,U,17,CECI A.,Lunes presencial de corrido ,"1 antecedente: Psicología, organizaciones y trabajo",8:00- 11:00,,,,,
OPTATIVA ,Procesos familiares de crisis y conflicto,6,U,4,SILVIA A.,Lunes y miércoles presencial ,Ningún antecedente,8:30-10:00,,8:30-10:00,,,
OPTATIVA ,Diagnostico clínico diferencial de necesidades especiales educativas de la niñez y adolescencia,6,U,5,PAULINA C.,Lunes y miércoles presencial ,1 antecedente: Desarrollo psicológico- niñez y adolescencia,10:00-11:30,,10:00-11:30,,,
OPTATIVA ,Trastornos del sueño,6,U,16,JESÚS M.,Jueves presencial de corrido ,Ningún antecedente,,,,12:00-15:00,,
OPTATIVA ,Neurodesarrollo y neurodivergencia,6,U,UADY virtual,SALLY S.,Lunes y miércoles  trabajo en plataforma (sin sesión directa),1 antecedente: Neuroanatomía,20:00-22:00,,20:00-22:00,,,
OPTATIVA ,Entrevista en el contexto organizacional,6,U,16,LUPITA C.,Martes y jueves presencial,"2 antecedentes: Habilidades clínicas básicas; Psicología, organizaciones y trabajo",,8:00- 10:00,,8:00-10:00,,
OPTATIVA ,Psicología del deporte,6,U,16/online,ANA C.,Miércoles presencial y viernes online,Ningún antecedente,,,8:00-10:00,,8:00-10:00,
OPTATIVA ,Psicología y apego al tratamiento,6,U,6,MA. JOSÉ DE LILLE,Miércoles y viernes presencial,Ningún antecedente,,,10:00-11:30,,10:00-11:30,
OPTATIVA ,Supervisión de la prácticas de laboratorio (del sueño),8,A,Laboratorio de sueño ,ARLETTE C.,Lunes y viernes presencial,1 antecedente: Procesos neuropsicológicos del comportamiento,8:00-10:00,,,,8:00-12:00,
OPTATIVA ,Supervisión de la prácticas de laboratorio (del deporte),8,B,Laboratorio de deporte ,DIANA F.,Miércoles y viernes presencial,1 antecedente: Procesos neuropsicológicos del comportamiento,,,14:00-17:00,,14:00-17:00,
OPTATIVA ,Principios básicos de intervención con enfoque fenomenológico,6,U,8,RICARDO G.,Martes y jueves presencial,1 antecedente: Modelos de intervención en psicología clínica,,8:00-9:30,,8:00-9:30,,
OPTATIVA ,Filosofía de la ciencia y psicología,6,U,7,YANKO M.,Martes y jueves presencial,Ningún antecedente,,12:00-14:00,,12:00-14:00,,
OPTATIVA ,Experimentación en psicología cognitiva,6,U,2,YANKO M.,Lunes y miércoles presencial ,Ningún antecedente,14:00-16:00,,14:00-16:00,,,
OPTATIVA ,Primeros auxilios psicológicos,6,A,UADY virtual,FARIDE P.,Lunes y miércoles trabajo en plataforma (sin sesión directa),Ningún antecedente,6:00- 8:00,,6:00-8:00,,,
OPTATIVA ,Primeros auxilios psicológicos,6,B,UADY virtual,DIANA R.,Lunes y miércoles trabajo en plataforma (sin sesión directa),Ningún antecedente,6:00- 8:00,,6:00-8:00,,,
OPTATIVA ,Introducción al estudio del trauma psicológico,6,U,UADY virtual,FARIDE P.,Martes y jueves trabajo en plataforma (sin sesión directa),Ningún antecedente,,6:00- 8:00,,6:00-8:00,,
OPTATIVA ,Tópicos selectos en psicoendocrinología,6,U,17,DRA. THELMA,Viernes presencial y sábado plataforma (sin sesión directa),Ningún antecedente,,,,,8:00-10:00,6:00-8:00
OPTATIVA ,Tópicos selectos en psicofarmacología,6,U,18,DRA. THELMA,Lunes y miércoles presencial ,Ningún antecedente,8:00-10:00,,8:00-10:00,,,
OPTATIVA ,Psicología jurídica forense,6,U,15,VERONICA G.,Lunes y miércoles presencial. Importante tener disposición para días de observación en salas de jucios orales por la tarde,2 antecedentes: Psicopatología; Evaluación de inteligencia y habilidades cognitivas,14:00-16:00,,14:00-16:00,,,
OPTATIVA ,Fotointervención,6,U,10,REBELIN E.,Viernes presencial de corrido,Ningún antecedente,,,,,8:00-12:00,
OPTATIVA ,Atención comunitaria y salud mental,6,U,Campo ,TANIA B.,Lunes presencial en campo. Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato,Ningún antecedente,17:00-19:00,,,,,
OPTATIVA ,Psychological Acculturation Models,6,U,UADY virtual,MARIA M.,Martes y jueves trabajo en plataforma (sin sesión directa),1 antecedente:Procesos psicosociales individuales,,20:00-22:00,,20:00-22:00,,
OPTATIVA ,Psicogerentología,6,U,5,JORGE R.,Martes y jueves presencial,1 antecedente: Desarrollo psicológico- adultez y vejez,,8:00-10:00,,8:00-10:00,,
OPTATIVA ,Prevención de la autolesión y el suicidio: empoderamiento de los profesionales de atención primaria de salud,6,U,9,ZENDY P.,Miércoles y viernes presencial,1 antecedente: Desarrollo psicológico- niñez y adolescencia,,,14:00-16:00,,14:00-16:00,
OPTATIVA ,Promoción de la salud mental y prevención del suicidio ,6,U,Isabel Reyes/ Campo,LOURDES P.,"Lunes de corrido presencial con algunas sesiones en campo
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato ",1 antecedente: Psicopatología ,8:00-12:00,,,,,
OPTATIVA ,Animales en terapia asistida ,6,U,7/online,MATILDE J.,Lunes presencial y viernes online ,Ningún antecedente,8:00-10:00,,,,8:00-10:00,
OPTATIVA ,Victimología ,6,U,18/13,FARIDE P.,Miércoles y viernes presencial,Ningún antecedente,,,10:00-12:00,,10:00-12:00,
LIBRE,Introducción a la lengua de señas ,6,U,online,CRISTINA P.,Martes online,Ningún antecedente,,16:00-18:00,,,,